x,y,token
52.308483,-77.04958,rok
91.24975,-15.141988,mieć
33.648792,-81.109,kategoria
21.827095,-7.373909,móc
3.8908706,-91.90265,miąć
95.72371,12.587035,powiedzieć
25.90293,4.6254754,zostać
10.541077,-12.267619,czas
13.697489,-17.907795,swój
21.530523,-7.473671,chcieć
95.0732,14.510324,wiedzieć
-24.227377,9.191805,miejsce
21.753857,-7.1833944,musieć
52.627617,-0.7555945,wielki
9.897599,-11.671159,lato
9.482276,65.96863,oko
95.7783,12.8480625,mówić
91.249855,-15.143458,miał
9.071256,-12.678444,raz
-10.391569,-39.364563,ludzie
9.823555,-11.282346,dzień
-38.567448,-61.33023,polski
4.608977,63.64527,głowa
-7.537194,51.800514,strona
54.997143,-28.678648,życie
7.463658,1.7789834,chwila
3.9403236,60.75629,ręka
37.342464,-5.5551085,wszystek
-2.886173,39.355515,świat
72.71628,17.351725,widzieć
21.013132,11.709209,zacząć
91.24889,-15.144677,mama
39.659054,-38.24194,sprawa
-23.756287,53.089798,dom
-32.79863,-2.9467561,jeść
-7.1434546,-14.8657675,człowiek
18.68092,3.2754755,potem
-11.438505,-13.646755,dziecko
-25.997522,2.3115776,koniec
56.537575,-25.825537,stan
80.16566,15.828392,zrobić
65.083,-64.7723,pierwszy
30.780523,-1.0926353,część
8.320929,66.133835,twarz
-11.739131,-14.408632,kobieta
32.84954,-20.903048,praca
51.17778,-3.574916,dobry
32.321587,30.198559,głos
-13.695936,44.399277,ziemia
65.79524,-65.13259,drugi
47.008087,-71.321945,trzy
82.872856,45.471825,znajdować
-12.103748,-14.390691,osoba
52.511166,-0.8305569,duży
-22.298002,41.11865,miasto
82.03062,46.139687,znaleźć
-10.395317,-31.43983,ojciec
51.294662,-60.627945,wojna
87.753044,-6.385451,należeć
43.07074,-44.64502,rzecz
-83.497284,39.617928,the
72.83228,17.177834,zobaczyć
-16.964985,44.646954,droga
91.24913,-15.143549,maja
19.971167,1.224488,późno
34.272358,-77.94345,sekunda
-26.150146,60.00436,drzwi
10.121527,-12.587864,wiek
27.910082,-45.715767,słowa
-11.676341,-14.317405,mężczyzna
22.419106,-2.387651,nikt
80.17587,15.829826,robić
-10.467877,42.9909,woda
8.035148,1.3313462,godzina
7.728265,57.294243,ciało
30.722193,-78.90191,ii
8.462119,-0.7119903,czym
29.237982,-2.9751294,przykład
76.39769,59.560932,iść
-13.183765,3.832721,grupa
